metier;sexe;formation;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;intervalle_revenus;presence_enfants;presence_enfant_conduite_accompagnée;Index
biostatisticien;M;<High School;Commercial;Pickup;yes;1;1;Highly Urban/ Urban;24/01/2022 13:18;complet;dev_integral;(0, 20k€);Oui;Oui;498
chef de rayon;M;PhD;Private;Pickup;no;0;19;Highly Urban/ Urban;17/03/2022 06:56;complet;dev_integral;(>150k€);Non;Non;499
décorateur;M;PhD;Private;z_SUV;no;1;9;z_Highly Rural/ Rural;29/03/2022 02:50;complet;dev_integral;(0, 20k€);Non;Non;500
affûteur;M;Masters;Private;Pickup;yes;0;;Highly Urban/ Urban;10/05/2022 07:12;complet;dev_express;(>60k€, 80k€);Non;Non;501
régisseur de spectacles;F;PhD;Private;Minivan;no;0;15;Highly Urban/ Urban;14/03/2022 05:41;complet;dev_express;(>100k€, 150k€);Non;Non;502
responsable des ouvrages hydroélectriques;F;z_High School;Private;Pickup;no;0;10;z_Highly Rural/ Rural;31/05/2022 13:57;complet;dev_premium;(>20k€, 40k€);Non;Non;503
administrateur de spectacle;F;Bachelors;Private;z_SUV;no;0;7;Highly Urban/ Urban;10/05/2022 23:39;complet;dev_integral;(>100k€, 150k€);Non;Non;504
verrier au chalumeau;F;z_High School;Commercial;Pickup;no;0;1;Highly Urban/ Urban;14/05/2022 00:58;complet;dev_express;(>20k€, 40k€);Oui;Non;505
secrétaire administratif;F;Bachelors;Commercial;Van;no;2;12;Highly Urban/ Urban;07/05/2022 14:05;complet;dev_express;(>100k€, 150k€);Non;Non;506
technicien en automatismes;F;<High School;Private;Pickup;yes;1;1;z_Highly Rural/ Rural;17/05/2022 22:41;complet;dev_integral;(>40k€, 60k€);Non;Non;507
psychanalyste;M;z_High School;Commercial;Minivan;yes;0;8;Highly Urban/ Urban;17/03/2022 06:05;complet;dev_integral;(0, 20k€);Non;Non;508
technicien de fabrication de mobilier et de menuiserie;F;PhD;Commercial;Van;yes;3;10;Highly Urban/ Urban;15/03/2022 03:25;complet;dev_premium;(>100k€, 150k€);Non;Non;509
commercial export;F;PhD;Private;Minivan;no;0;13;Highly Urban/ Urban;30/03/2022 17:24;complet;dev_express;(>100k€, 150k€);Non;Non;510
technicien réalisateur réalisatrice radio;F;<High School;Private;z_SUV;no;0;1;Highly Urban/ Urban;21/01/2022 20:42;complet;dev_express;(>60k€, 80k€);Non;Non;511
secrétaire de rédaction;M;z_High School;Commercial;z_SUV;no;2;1;Highly Urban/ Urban;18/01/2022 19:29;complet;dev_express;(0, 20k€);Oui;Non;512
monteur-câbleur;F;Bachelors;Commercial;Minivan;yes;1;17;Highly Urban/ Urban;19/04/2022 21:43;complet;dev_integral;(0, 20k€);Non;Non;513
mécanicien marine navigant;M;z_High School;Commercial;Pickup;yes;0;7;z_Highly Rural/ Rural;18/05/2022 13:33;complet;dev_premium;(>20k€, 40k€);Non;Non;514
veilleur stratégique;M;Masters;Private;Minivan;no;0;21;Highly Urban/ Urban;04/04/2022 15:50;complet;dev_express;(>60k€, 80k€);Non;Non;515
mécanicien d'entretien d'avion;M;Bachelors;Private;Minivan;yes;0;8;Highly Urban/ Urban;25/03/2022 07:11;complet;dev_integral;(>100k€, 150k€);Oui;Non;516
opérateur de fabrication de produits alimentaires;F;Bachelors;Commercial;Minivan;no;7;1;Highly Urban/ Urban;23/03/2022 12:28;complet;dev_integral;(>60k€, 80k€);Oui;Non;517
chargé de recherche et développement déchets;F;Masters;Commercial;Panel Truck;yes;0;11;Highly Urban/ Urban;25/03/2022 13:33;complet;dev_express;(>100k€, 150k€);Non;Non;518
responsable de la collecte des déchets ménagers;M;PhD;Private;Minivan;yes;0;22;Highly Urban/ Urban;23/02/2022 20:23;complet;dev_integral;(N/A - Missing Value);Non;Non;519
juriste en droit social;F;Bachelors;Commercial;z_SUV;no;4;10;Highly Urban/ Urban;08/04/2022 12:44;complet;dev_premium;(>100k€, 150k€);Non;Non;520
ingénieur cloud computing;M;Masters;Private;Minivan;no;0;;Highly Urban/ Urban;25/02/2022 05:54;complet;dev_integral;(>40k€, 60k€);Non;Non;521
administrateur de base de données;F;<High School;Private;z_SUV;no;2;8;Highly Urban/ Urban;07/02/2022 00:44;complet;dev_integral;(>20k€, 40k€);Non;Non;522
garde à cheval;M;<High School;Commercial;Minivan;no;0;4;z_Highly Rural/ Rural;01/04/2022 01:13;complet;dev_integral;(0, 20k€);Oui;Oui;523
ingénieur frigoriste;M;PhD;Private;Minivan;no;3;;Highly Urban/ Urban;25/05/2022 18:59;complet;dev_express;(>100k€, 150k€);Non;Non;524
menuisier;F;z_High School;Private;z_SUV;no;5;7;Highly Urban/ Urban;21/04/2022 16:29;complet;dev_express;(>20k€, 40k€);Non;Non;525
opticien-lunetier;F;<High School;Private;Minivan;yes;0;1;Highly Urban/ Urban;31/05/2022 05:19;complet;dev_premium;(>20k€, 40k€);Non;Non;526
concepteur multimédia;M;z_High School;Commercial;Pickup;no;0;1;Highly Urban/ Urban;19/02/2022 08:11;complet;dev_express;(N/A - Missing Value);Non;Non;527
enseignant de la conduite automobile et de la sécurité routière;F;Bachelors;Private;z_SUV;no;9;6;Highly Urban/ Urban;23/05/2022 14:29;complet;dev_integral;(>40k€, 60k€);Oui;Oui;528
conseiller sportif sportive en salle de remise en forme;M;Bachelors;Commercial;Pickup;no;0;4;z_Highly Rural/ Rural;24/02/2022 11:57;complet;dev_integral;(>80k€, 100k€);Oui;Non;529
adjoint administratif administrative;M;Bachelors;Private;Sports Car;no;0;;Highly Urban/ Urban;28/05/2022 16:47;complet;dev_express;(>40k€, 60k€);Oui;Non;530
psychologue;F;Masters;Private;Minivan;no;0;9;Highly Urban/ Urban;18/05/2022 20:48;complet;dev_express;(>20k€, 40k€);Non;Non;531
sociologue;M;z_High School;Commercial;Panel Truck;yes;4;1;Highly Urban/ Urban;12/03/2022 12:59;complet;dev_express;(>20k€, 40k€);Oui;Non;532
officier de gendarmerie;M;z_High School;Commercial;Pickup;yes;2;8;z_Highly Rural/ Rural;06/03/2022 13:23;complet;dev_express;(>40k€, 60k€);Oui;Oui;533
mécanicien-outilleur;M;z_High School;Commercial;Pickup;yes;3;1;Highly Urban/ Urban;04/03/2022 01:37;complet;dev_express;(N/A - Missing Value);Non;Non;534
secrétaire médical;M;Bachelors;Commercial;Pickup;yes;2;13;z_Highly Rural/ Rural;10/05/2022 23:21;complet;dev_premium;(>40k€, 60k€);Oui;Non;535
conducteur de métro;M;Bachelors;Private;Pickup;yes;3;9;Highly Urban/ Urban;08/04/2022 22:16;complet;dev_express;(N/A - Missing Value);Oui;Non;536
architecte des systèmes d'information;F;z_High School;Commercial;z_SUV;no;1;1;Highly Urban/ Urban;20/01/2022 06:01;complet;dev_express;(>40k€, 60k€);Non;Non;537
étanchéiste;F;Bachelors;Private;Minivan;yes;2;;z_Highly Rural/ Rural;06/01/2022 05:05;complet;dev_express;(N/A - Missing Value);Oui;Non;538
cryptologue;F;z_High School;Private;Sports Car;no;2;8;z_Highly Rural/ Rural;07/01/2022 02:17;complet;dev_integral;(0, 20k€);Oui;Non;539
décorateur;F;<High School;Private;Pickup;yes;1;1;Highly Urban/ Urban;04/05/2022 21:01;complet;dev_express;(>20k€, 40k€);Non;Non;540
ingénieur environnement et risques industriels;M;Masters;Private;Pickup;no;2;15;Highly Urban/ Urban;05/05/2022 07:55;complet;dev_integral;(>100k€, 150k€);Non;Non;541
bactériologiste;F;Masters;Private;Sports Car;no;7;18;Highly Urban/ Urban;14/03/2022 00:41;complet;dev_express;(>80k€, 100k€);Oui;Oui;542
pharmacien dans l'industrie;M;Bachelors;Private;Minivan;no;2;12;Highly Urban/ Urban;13/02/2022 12:27;complet;dev_express;(>60k€, 80k€);Non;Non;543
géomètre-topographe;M;Masters;Private;Minivan;yes;0;17;z_Highly Rural/ Rural;27/03/2022 16:30;complet;dev_integral;(>20k€, 40k€);Non;Non;544
ingénieur process aval;F;z_High School;Private;Sports Car;no;0;1;Highly Urban/ Urban;02/02/2022 14:25;complet;dev_integral;(>60k€, 80k€);Non;Non;545
céramiste;F;Masters;Commercial;Panel Truck;yes;0;14;z_Highly Rural/ Rural;22/05/2022 06:17;complet;dev_integral;(>60k€, 80k€);Oui;Oui;546
orthodontiste;M;Bachelors;Private;Sports Car;no;2;9;Highly Urban/ Urban;03/02/2022 18:51;complet;dev_integral;(>20k€, 40k€);Non;Non;547
ingénieur en fonderie;M;Bachelors;Private;z_SUV;no;3;7;Highly Urban/ Urban;17/04/2022 11:05;complet;dev_express;(>20k€, 40k€);Non;Non;548
syndic de copropriété;F;PhD;Private;Sports Car;no;0;9;Highly Urban/ Urban;30/01/2022 11:38;complet;dev_integral;(>60k€, 80k€);Non;Non;549
visiteur médical médicale;M;PhD;Private;z_SUV;no;3;12;Highly Urban/ Urban;04/01/2022 23:37;complet;dev_integral;(>150k€);Non;Non;550
vendeur conseil caviste;F;z_High School;Private;Pickup;yes;2;11;z_Highly Rural/ Rural;20/02/2022 01:38;complet;dev_premium;(>40k€, 60k€);Oui;Non;551
psychanalyste;M;Masters;Private;z_SUV;no;0;18;Highly Urban/ Urban;22/03/2022 18:25;complet;dev_integral;(>60k€, 80k€);Non;Non;552
directeur artistique;M;PhD;Private;Sports Car;no;0;20;Highly Urban/ Urban;14/04/2022 03:08;complet;dev_integral;(N/A - Missing Value);Non;Non;553
technicien en automatismes;M;z_High School;Commercial;z_SUV;no;4;9;Highly Urban/ Urban;28/03/2022 18:19;complet;dev_integral;(>20k€, 40k€);Non;Non;554
ingénieur en construction navale;M;z_High School;Commercial;z_SUV;no;0;5;Highly Urban/ Urban;15/01/2022 01:30;complet;dev_integral;(>40k€, 60k€);Non;Non;555
concepteur de niveaux de jeu web;M;Bachelors;Commercial;Pickup;no;1;7;Highly Urban/ Urban;30/03/2022 17:09;complet;dev_express;(>40k€, 60k€);Oui;Oui;556
community manager;M;z_High School;Private;Minivan;no;0;1;z_Highly Rural/ Rural;03/04/2022 06:29;complet;dev_express;(N/A - Missing Value);Non;Non;557
ascensoriste;M;Bachelors;Private;Minivan;no;0;;Highly Urban/ Urban;11/04/2022 23:33;complet;dev_integral;(>60k€, 80k€);Oui;Non;558
statisticien en géomarketing;F;Masters;Commercial;Panel Truck;yes;0;;Highly Urban/ Urban;18/05/2022 18:08;complet;dev_integral;(0, 20k€);Non;Non;559
microbiologiste;M;<High School;Private;Pickup;yes;4;1;Highly Urban/ Urban;02/04/2022 09:07;complet;dev_integral;(0, 20k€);Non;Non;560
chef de produit touristique;M;Masters;Private;Minivan;yes;0;19;Highly Urban/ Urban;09/03/2022 14:39;complet;dev_express;(>40k€, 60k€);Non;Non;561
responsable de laboratoire de contrôle en biologie;M;z_High School;Private;Sports Car;no;0;10;Highly Urban/ Urban;13/04/2022 11:26;complet;dev_integral;(0, 20k€);Non;Non;562
directeur de golf;M;Masters;Commercial;Van;yes;3;18;Highly Urban/ Urban;14/03/2022 13:17;complet;dev_integral;(>40k€, 60k€);Non;Non;563
responsable qualité en agroalimentaire;M;Bachelors;Private;Minivan;no;1;10;Highly Urban/ Urban;12/05/2022 14:47;complet;dev_express;(>20k€, 40k€);Oui;Non;564
chef de station de traitement des eaux;F;<High School;Private;Van;no;0;1;Highly Urban/ Urban;01/01/2022 20:24;complet;dev_integral;(0, 20k€);Oui;Non;565
ingénieur chimiste;M;PhD;Private;z_SUV;no;4;16;Highly Urban/ Urban;25/05/2022 20:36;complet;dev_express;(>80k€, 100k€);Oui;Oui;566
web-ergonome;F;Bachelors;Private;z_SUV;no;0;9;Highly Urban/ Urban;16/05/2022 05:07;complet;dev_express;(0, 20k€);Non;Non;567
mixeur son;M;<High School;Private;Pickup;no;1;7;Highly Urban/ Urban;27/02/2022 02:15;complet;dev_integral;(0, 20k€);Oui;Oui;568
directeur d'hôpital;F;PhD;Private;Pickup;no;0;15;Highly Urban/ Urban;09/03/2022 09:41;complet;dev_integral;(>150k€);Non;Non;569
analyste de crédit;M;Bachelors;Private;z_SUV;no;4;13;Highly Urban/ Urban;31/05/2022 15:49;complet;dev_express;(>60k€, 80k€);Non;Non;570
consultant en conduite de changement;F;PhD;Private;Minivan;no;0;14;Highly Urban/ Urban;02/03/2022 14:10;complet;dev_premium;(>150k€);Non;Non;571
ingénieur en acoustique;F;Masters;Commercial;Panel Truck;yes;0;24;Highly Urban/ Urban;24/04/2022 21:41;complet;dev_premium;(>80k€, 100k€);Oui;Non;572
responsable de scierie;F;Bachelors;Commercial;Pickup;no;3;10;Highly Urban/ Urban;21/01/2022 07:59;complet;dev_express;(0, 20k€);Non;Non;573
agent immobilier immobilière;F;Masters;Private;z_SUV;no;4;13;Highly Urban/ Urban;07/03/2022 19:35;complet;dev_express;(>60k€, 80k€);Non;Non;574
géotechnicien;F;Bachelors;Private;Pickup;yes;0;17;z_Highly Rural/ Rural;31/05/2022 11:14;complet;dev_express;(0, 20k€);Non;Non;575
maraîcher;M;Bachelors;Commercial;Van;yes;4;8;Highly Urban/ Urban;13/05/2022 02:36;complet;dev_integral;(>60k€, 80k€);Oui;Non;576
chef de rayon;F;Masters;Private;Pickup;yes;0;15;Highly Urban/ Urban;23/05/2022 03:01;complet;dev_integral;(>60k€, 80k€);Non;Non;577
informaticien industriel industrielle;M;Bachelors;Commercial;Minivan;no;1;10;Highly Urban/ Urban;11/05/2022 03:02;complet;dev_express;(0, 20k€);Non;Non;578
technicien télécoms et réseaux;M;<High School;Private;Minivan;yes;3;1;Highly Urban/ Urban;05/04/2022 00:02;complet;dev_integral;(0, 20k€);Non;Non;579
coiffeur;M;<High School;Private;z_SUV;no;8;1;Highly Urban/ Urban;27/05/2022 18:51;complet;dev_integral;(>80k€, 100k€);Non;Non;580
brodeur;M;<High School;Private;Minivan;yes;2;1;Highly Urban/ Urban;20/04/2022 23:17;complet;dev_premium;(>20k€, 40k€);Oui;Non;581
ingénieur plasturgiste;M;Bachelors;Commercial;Panel Truck;yes;0;10;Highly Urban/ Urban;25/01/2022 19:36;complet;dev_express;(0, 20k€);Oui;Non;582
guide de haute montagne;M;Bachelors;Private;Minivan;yes;1;13;Highly Urban/ Urban;08/04/2022 01:19;complet;dev_express;(>60k€, 80k€);Oui;Non;583
responsable des ressources humaines;M;z_High School;Private;Minivan;yes;0;7;z_Highly Rural/ Rural;18/02/2022 12:19;complet;dev_integral;(0, 20k€);Non;Non;584
boulanger;F;Bachelors;Commercial;Minivan;no;0;;Highly Urban/ Urban;12/01/2022 18:29;complet;dev_integral;(>80k€, 100k€);Non;Non;585
ingénieur en automatismes;M;z_High School;Private;Sports Car;no;2;1;Highly Urban/ Urban;10/01/2022 15:03;complet;dev_integral;(0, 20k€);Non;Non;586
déclarant en douane;M;Bachelors;Private;z_SUV;no;1;5;Highly Urban/ Urban;10/05/2022 11:42;complet;dev_premium;(>60k€, 80k€);Oui;Oui;587
psychologue;M;z_High School;Private;z_SUV;no;0;10;z_Highly Rural/ Rural;23/03/2022 10:29;complet;dev_premium;(N/A - Missing Value);Oui;Non;588
photographe;M;<High School;Private;z_SUV;no;5;3;Highly Urban/ Urban;19/02/2022 03:28;complet;dev_integral;(0, 20k€);Non;Non;589
maquettiste;M;z_High School;Private;z_SUV;no;0;1;z_Highly Rural/ Rural;27/04/2022 20:44;complet;dev_express;(N/A - Missing Value);Oui;Oui;590
chef de projet packaging;F;<High School;Private;Pickup;yes;0;1;Highly Urban/ Urban;23/04/2022 04:43;complet;dev_express;(>20k€, 40k€);Non;Non;591
pharmacien dans l'industrie;F;Bachelors;Commercial;Panel Truck;yes;5;10;Highly Urban/ Urban;21/05/2022 08:25;complet;dev_integral;(>100k€, 150k€);Non;Non;592
technicien de police technique et scientifique;M;Masters;Private;Van;yes;6;;Highly Urban/ Urban;06/01/2022 08:39;complet;dev_express;(>100k€, 150k€);Non;Non;593
journaliste reporter d'images;M;Masters;Private;z_SUV;no;0;14;Highly Urban/ Urban;08/04/2022 00:39;complet;dev_integral;(>80k€, 100k€);Oui;Non;594
éducateur spécialisé spécialisée;F;Bachelors;Private;z_SUV;no;0;6;Highly Urban/ Urban;25/04/2022 11:54;complet;dev_integral;(>40k€, 60k€);Non;Non;595
fiscaliste;M;Masters;Private;Sports Car;no;1;19;Highly Urban/ Urban;09/01/2022 11:28;complet;dev_express;(>40k€, 60k€);Non;Non;596
chargé des méthodes outils et qualité en informatique;M;<High School;Private;Minivan;yes;2;6;z_Highly Rural/ Rural;05/02/2022 05:34;complet;dev_integral;(0, 20k€);Non;Non;597
médecin spécialiste;M;PhD;Private;Minivan;yes;2;14;Highly Urban/ Urban;01/03/2022 11:59;complet;dev_integral;(>150k€);Non;Non;598
secrétaire médical;M;Masters;Private;Sports Car;no;2;20;z_Highly Rural/ Rural;14/02/2022 22:46;complet;dev_premium;(0, 20k€);Non;Non;599
verrier au chalumeau;F;Bachelors;Commercial;Pickup;yes;7;7;Highly Urban/ Urban;13/02/2022 06:18;complet;dev_integral;(>80k€, 100k€);Oui;Non;600
technicien pétrolier pétrolière;M;<High School;Commercial;Pickup;yes;2;1;z_Highly Rural/ Rural;11/03/2022 21:23;complet;dev_premium;(N/A - Missing Value);Oui;Oui;601
ébéniste;M;Bachelors;Commercial;z_SUV;no;1;13;Highly Urban/ Urban;12/01/2022 21:51;complet;dev_express;(>60k€, 80k€);Oui;Oui;602
ingénieur en imagerie médicale;F;Bachelors;Private;Minivan;no;0;13;Highly Urban/ Urban;10/03/2022 05:03;complet;dev_integral;(0, 20k€);Oui;Oui;603
développeur d'applications mobiles;M;PhD;Commercial;Panel Truck;yes;0;6;Highly Urban/ Urban;10/05/2022 21:14;complet;dev_express;(>150k€);Non;Non;604
ethnologue;F;Bachelors;Commercial;z_SUV;no;3;1;Highly Urban/ Urban;11/01/2022 06:26;complet;dev_premium;(>60k€, 80k€);Non;Non;605
concepteur multimédia;M;Bachelors;Private;Sports Car;no;0;7;z_Highly Rural/ Rural;05/05/2022 14:13;complet;dev_premium;(N/A - Missing Value);Non;Non;606
biostatisticien;F;Masters;Private;Minivan;yes;1;15;Highly Urban/ Urban;21/02/2022 10:07;complet;dev_integral;(>60k€, 80k€);Oui;Non;607
chauffeur de taxi;M;Masters;Commercial;Van;yes;0;13;Highly Urban/ Urban;07/04/2022 18:39;complet;dev_premium;(>60k€, 80k€);Non;Non;608
administrateur de spectacle;M;z_High School;Commercial;Minivan;no;2;7;Highly Urban/ Urban;07/02/2022 05:05;complet;dev_integral;(>60k€, 80k€);Non;Non;609
assistant maternel maternelle;F;z_High School;Commercial;z_SUV;no;0;7;z_Highly Rural/ Rural;28/05/2022 05:50;complet;dev_express;(>20k€, 40k€);Oui;Non;610
carrossier;M;PhD;Private;Minivan;no;0;7;Highly Urban/ Urban;03/03/2022 11:24;complet;dev_integral;(>80k€, 100k€);Non;Non;611
décolleteur;M;Masters;Private;Minivan;yes;0;16;Highly Urban/ Urban;07/02/2022 03:36;complet;dev_integral;(>100k€, 150k€);Oui;Non;612
opérateur prépresse;F;PhD;Private;z_SUV;no;0;15;z_Highly Rural/ Rural;07/01/2022 05:37;complet;dev_premium;(>80k€, 100k€);Non;Non;613
responsable qualité en agroalimentaire;M;z_High School;Commercial;Minivan;no;0;7;Highly Urban/ Urban;26/02/2022 03:44;complet;dev_premium;(>20k€, 40k€);Non;Non;614
conseiller en fusions-acquisitions;M;PhD;Private;Van;yes;0;18;Highly Urban/ Urban;07/04/2022 19:50;complet;dev_integral;(>150k€);Non;Non;615
chargé de valorisation de la recherche;F;Masters;Private;Sports Car;no;4;21;Highly Urban/ Urban;22/03/2022 11:12;complet;dev_express;(>150k€);Non;Non;616
conseiller agricole;F;Masters;Private;z_SUV;no;1;13;z_Highly Rural/ Rural;12/01/2022 10:58;complet;dev_integral;(>80k€, 100k€);Non;Non;617
militaire du rang de l'armée de terre;M;Masters;Private;Sports Car;no;0;11;Highly Urban/ Urban;10/03/2022 08:37;complet;dev_integral;(>20k€, 40k€);Oui;Oui;618
staffeur-ornemaniste;F;Bachelors;Commercial;Sports Car;no;2;;Highly Urban/ Urban;11/02/2022 07:56;complet;dev_integral;(>40k€, 60k€);Non;Non;619
scénariste;F;z_High School;Private;Minivan;yes;2;;z_Highly Rural/ Rural;17/04/2022 04:32;complet;dev_express;(>80k€, 100k€);Non;Non;620
conseiller en séjour;M;Bachelors;Private;Minivan;yes;3;5;Highly Urban/ Urban;20/05/2022 14:45;complet;dev_integral;(N/A - Missing Value);Oui;Non;621
responsable de rémunération;F;Masters;Commercial;Panel Truck;yes;0;17;z_Highly Rural/ Rural;08/01/2022 16:09;complet;dev_express;(>150k€);Non;Non;622
pilote de ligne;M;PhD;Private;Sports Car;no;3;14;Highly Urban/ Urban;14/03/2022 14:20;complet;dev_express;(>80k€, 100k€);Non;Non;623
administrateur de biens;M;Bachelors;Private;Pickup;no;0;10;Highly Urban/ Urban;23/05/2022 23:35;complet;dev_integral;(>100k€, 150k€);Non;Non;624
technicien des industries du verre;M;Bachelors;Commercial;Sports Car;no;1;11;Highly Urban/ Urban;09/04/2022 21:55;complet;dev_integral;(>40k€, 60k€);Non;Non;625
lad-jockey, lad-driver;M;Masters;Private;Van;no;0;18;Highly Urban/ Urban;28/04/2022 17:36;complet;dev_integral;(>40k€, 60k€);Non;Non;626
agent de sûreté ferroviaire;M;z_High School;Private;Pickup;no;3;1;z_Highly Rural/ Rural;17/02/2022 09:12;complet;dev_premium;(>20k€, 40k€);Non;Non;627
écrivain;F;z_High School;Private;Minivan;no;2;11;Highly Urban/ Urban;16/04/2022 00:49;complet;dev_express;(>100k€, 150k€);Non;Non;628
commissaire-priseur;M;PhD;Private;Minivan;no;0;13;Highly Urban/ Urban;14/04/2022 05:42;complet;dev_express;(>150k€);Non;Non;629
trader;M;Bachelors;Commercial;Minivan;yes;0;9;Highly Urban/ Urban;26/04/2022 08:50;complet;dev_premium;(>80k€, 100k€);Non;Non;630
opérateur sur machine à commande numérique;M;<High School;Private;Sports Car;no;4;1;Highly Urban/ Urban;24/04/2022 02:36;complet;dev_integral;(>40k€, 60k€);Non;Non;631
webmestre;M;Masters;Private;Pickup;yes;0;8;Highly Urban/ Urban;03/03/2022 12:44;complet;dev_integral;(>40k€, 60k€);Non;Non;632
monteur en installations thermiques et climatiques;M;Masters;Private;Minivan;yes;1;15;Highly Urban/ Urban;18/03/2022 03:03;complet;dev_integral;(>100k€, 150k€);Non;Non;633
tapissier d'ameublement;F;Bachelors;Private;Sports Car;no;2;8;Highly Urban/ Urban;28/04/2022 02:43;complet;dev_integral;(>40k€, 60k€);Non;Non;634
ingénieur brevets;F;Bachelors;Commercial;Van;no;1;7;Highly Urban/ Urban;22/03/2022 08:53;complet;dev_express;(>80k€, 100k€);Oui;Non;635
ingénieur traitement de l'image;F;Masters;Commercial;Pickup;no;4;10;Highly Urban/ Urban;08/02/2022 19:17;complet;dev_integral;(>60k€, 80k€);Oui;Oui;636
collaborateur de notaire de notaire;F;Bachelors;Commercial;Panel Truck;no;0;;z_Highly Rural/ Rural;08/02/2022 07:38;complet;dev_integral;(>80k€, 100k€);Non;Non;637
agent immobilier immobilière;F;<High School;Private;z_SUV;no;0;1;z_Highly Rural/ Rural;07/02/2022 21:25;complet;dev_integral;(>20k€, 40k€);Non;Non;638
assistant de gestion en PME;F;z_High School;Commercial;Pickup;no;2;1;Highly Urban/ Urban;22/03/2022 09:48;complet;dev_express;(>60k€, 80k€);Oui;Non;639
technicien chimiste;F;z_High School;Commercial;Pickup;no;1;1;Highly Urban/ Urban;13/04/2022 20:56;complet;dev_premium;(>20k€, 40k€);Non;Non;640
chef de fabrication des industries graphiques;M;<High School;Private;Sports Car;no;4;1;Highly Urban/ Urban;16/02/2022 18:11;complet;dev_premium;(0, 20k€);Oui;Oui;641
employé de chai;F;<High School;Private;Minivan;yes;0;7;Highly Urban/ Urban;01/03/2022 17:16;complet;dev_integral;(0, 20k€);Non;Non;642
libraire;F;z_High School;Private;z_SUV;no;0;1;z_Highly Rural/ Rural;17/01/2022 23:45;complet;dev_integral;(>20k€, 40k€);Non;Non;643
administrateur de biens;M;<High School;Private;Minivan;yes;2;7;z_Highly Rural/ Rural;21/05/2022 16:11;complet;dev_integral;(0, 20k€);Oui;Oui;644
économiste de la construction;F;Masters;Private;Minivan;no;6;17;Highly Urban/ Urban;17/04/2022 06:36;complet;dev_premium;(>150k€);Non;Non;645
opérateur de raffinerie;F;Bachelors;Private;z_SUV;no;0;1;Highly Urban/ Urban;13/02/2022 20:08;complet;dev_integral;(>60k€, 80k€);Non;Non;646
conducteur de bus ou d'autocar;M;PhD;Private;Minivan;no;0;25;Highly Urban/ Urban;08/03/2022 23:49;complet;dev_express;(>100k€, 150k€);Oui;Non;647
aide-soignant;M;Bachelors;Commercial;Minivan;no;1;9;z_Highly Rural/ Rural;01/05/2022 01:21;complet;dev_integral;(>80k€, 100k€);Non;Non;648
mixeur son;M;Masters;Commercial;Pickup;no;0;16;Highly Urban/ Urban;10/02/2022 01:30;complet;dev_integral;(>150k€);Non;Non;649
militaire technicien de l'air (MTA);F;PhD;Private;Sports Car;no;0;;Highly Urban/ Urban;17/03/2022 21:10;complet;dev_integral;(>80k€, 100k€);Oui;Non;650
militaire du rang de l'armée de terre;M;z_High School;Commercial;z_SUV;no;1;8;z_Highly Rural/ Rural;10/02/2022 16:25;complet;dev_premium;(>20k€, 40k€);Non;Non;651
professeur d'éducation physique et sportive (EPS);F;z_High School;Private;z_SUV;no;0;1;Highly Urban/ Urban;16/01/2022 23:49;complet;dev_integral;(>40k€, 60k€);Non;Non;652
accompagnateur en moyenne montagne;M;z_High School;Commercial;Minivan;no;6;1;Highly Urban/ Urban;05/01/2022 00:48;complet;dev_integral;(>40k€, 60k€);Oui;Non;653
ingénieur logiciel;F;Masters;Commercial;Panel Truck;no;0;18;Highly Urban/ Urban;11/01/2022 17:35;complet;dev_vip;(>150k€);Oui;Oui;654
ingénieur d'études en sûreté nucléaire;M;z_High School;Commercial;z_SUV;no;0;1;Highly Urban/ Urban;11/03/2022 05:31;complet;dev_integral;(>40k€, 60k€);Oui;Non;655
technicien thermicien thermicienne;F;Bachelors;Private;z_SUV;no;0;1;z_Highly Rural/ Rural;10/01/2022 23:47;complet;dev_integral;(>20k€, 40k€);Non;Non;656
chef de projet web/mobile;M;<High School;Commercial;Van;yes;1;1;Highly Urban/ Urban;15/05/2022 02:01;complet;dev_integral;(>20k€, 40k€);Oui;Oui;657
conseiller agricole;F;z_High School;Private;z_SUV;no;2;6;z_Highly Rural/ Rural;03/01/2022 03:03;complet;dev_integral;(N/A - Missing Value);Oui;Oui;658
mandataire judiciaire;F;PhD;Private;Minivan;yes;1;11;Highly Urban/ Urban;22/01/2022 15:37;complet;dev_integral;(>100k€, 150k€);Non;Non;659
rudologue;F;<High School;Commercial;Pickup;no;1;4;Highly Urban/ Urban;03/04/2022 02:13;complet;dev_premium;(>20k€, 40k€);Non;Non;660
chirurgien;F;Bachelors;Commercial;Pickup;yes;4;14;z_Highly Rural/ Rural;15/03/2022 03:15;complet;dev_integral;(>20k€, 40k€);Non;Non;661
ingénieur fluides, énergies, réseaux, environnement;M;Masters;Private;Van;no;2;22;z_Highly Rural/ Rural;11/05/2022 04:46;complet;dev_vip;(0, 20k€);Non;Non;662
moniteur d'activités équestres;M;Bachelors;Private;Minivan;no;5;16;Highly Urban/ Urban;20/02/2022 07:23;complet;dev_premium;(>60k€, 80k€);Oui;Non;663
hydraulicien;M;z_High School;Private;Sports Car;no;0;6;Highly Urban/ Urban;07/03/2022 13:13;complet;dev_integral;(>20k€, 40k€);Non;Non;664
